image,response,pred_label
bottle3-bird1,bottle,bottle
bottle7-airplane3,bottle,bottle
bottle8-keyboard3,bottle,bottle
bottle3-boat3,bottle,bottle
bottle9-bicycle1,bottle,bottle
bottle10-boat3,bottle,bottle
bottle4-car3,chair,chair
bottle9-truck1,bottle,bottle
bottle4-bicycle1,bottle,bottle
bottle6-boat3,bottle,bottle
bottle4-oven2,bottle,bottle
bottle5-cat1,bottle,bottle
bottle1-dog2,bottle,bottle
bottle9-bottle1,bottle,bottle
bottle2-knife3,bottle,bottle
bottle7-elephant2,elephant,elephant
bottle3-airplane2,bottle,bottle
bottle7-boat3,bottle,bottle
bottle2-elephant1,elephant,elephant
bottle1-cat3,cat,cat
bottle2-chair3,chair,chair
bottle6-oven3,oven,oven
bottle5-chair1,chair,chair
bottle9-elephant2,bottle,bottle
bottle8-bird1,bottle,bottle
bottle9-cat2,cat,cat
bottle6-airplane1,bottle,bottle
bottle5-elephant1,elephant,elephant
bottle2-car2,bottle,bottle
bottle1-bear1,bear,bear
bottle5-knife1,bottle,bottle
bottle4-truck1,bottle,bottle
bottle9-car3,bottle,bottle
bottle8-dog2,bottle,bottle
bottle3-cat3,bottle,bottle
bottle10-clock2,bottle,bottle
bottle7-keyboard2,keyboard,keyboard
bottle1-bird3,bottle,bottle
bottle3-bottle3,bottle,bottle
bottle5-boat1,bottle,bottle
bottle5-keyboard2,keyboard,keyboard
bottle7-bear1,bear,bear
bottle4-dog2,bottle,bottle
bottle7-clock1,clock,clock
bottle5-oven2,bottle,bottle
bottle3-knife3,bottle,bottle
bottle10-bear2,bottle,bottle
bottle7-oven2,oven,oven
bottle6-bear2,bear,bear
bottle6-knife3,bottle,bottle
bottle6-bird1,bottle,bottle
bottle6-bottle3,bottle,bottle
bottle1-chair2,chair,chair
bottle3-bicycle3,bottle,bottle
bottle5-airplane1,bottle,bottle
bottle9-keyboard1,bottle,bottle
bottle4-airplane1,bottle,bottle
bottle3-bear2,bear,bear
bottle8-knife1,bottle,bottle
bottle8-elephant3,bottle,bottle
bottle5-clock3,clock,clock
bottle3-chair3,chair,chair
bottle10-car1,bottle,bottle
bottle2-bottle3,bottle,bottle
bottle6-chair2,chair,chair
bottle2-clock1,bottle,bottle
bottle10-truck3,bottle,bottle
bottle9-oven2,bottle,bottle
bottle7-truck2,car,car
bottle7-cat2,cat,cat
bottle8-bicycle1,bottle,bottle
bottle10-dog1,bottle,bottle
bottle5-truck1,bottle,bottle
knife10-oven3,oven,oven
knife5-cat2,cat,cat
knife4-clock3,clock,clock
knife6-oven3,oven,oven
knife7-boat3,bottle,bottle
knife9-bird1,bird,bird
knife6-truck1,bottle,bottle
knife5-truck3,car,car
knife9-airplane2,bird,bird
knife9-elephant2,elephant,elephant
knife1-oven1,keyboard,keyboard
knife1-clock2,clock,clock
knife2-elephant2,elephant,elephant
knife4-car2,knife,knife
knife6-bicycle1,bottle,bottle
knife2-truck2,car,car
knife6-chair3,chair,chair
knife8-truck3,airplane,airplane
knife6-clock2,clock,clock
knife3-bear2,bear,bear
knife5-knife3,knife,knife
knife5-dog1,dog,dog
knife9-bottle2,bottle,bottle
knife5-oven2,oven,oven
knife6-bottle3,bottle,bottle
knife5-keyboard3,keyboard,keyboard
knife2-bird1,knife,knife
knife2-bottle2,bottle,bottle
knife7-bird3,oven,oven
knife1-airplane1,clock,clock
knife6-boat3,boat,boat
knife3-keyboard3,bottle,bottle
knife2-bear2,cat,cat
knife4-knife2,bottle,bottle
knife8-bicycle1,bicycle,bicycle
knife10-elephant3,elephant,elephant
knife2-car3,car,car
knife3-clock2,clock,clock
knife4-airplane3,bicycle,bicycle
knife2-cat3,oven,oven
knife1-keyboard3,bottle,bottle
knife8-car2,bicycle,bicycle
knife2-bicycle3,clock,clock
knife1-truck2,oven,oven
knife4-boat1,clock,clock
knife2-dog1,bear,bear
knife1-chair1,chair,chair
knife1-elephant1,elephant,elephant
knife1-bird2,knife,knife
knife9-bicycle1,bottle,bottle
knife6-knife1,knife,knife
knife9-bear3,bear,bear
knife10-dog1,bear,bear
knife3-cat1,cat,cat
knife4-keyboard1,clock,clock
knife10-bear3,bear,bear
knife5-bicycle2,chair,chair
knife3-knife1,knife,knife
knife8-cat2,cat,cat
knife10-chair1,chair,chair
knife4-bear1,bear,bear
knife7-chair2,chair,chair
knife4-cat2,cat,cat
knife1-dog1,bear,bear
knife5-clock1,clock,clock
knife6-airplane1,knife,knife
knife7-bottle3,bottle,bottle
knife8-boat1,car,car
knife8-bottle3,bottle,bottle
knife7-airplane3,knife,knife
knife6-bird1,knife,knife
knife10-keyboard3,knife,knife
knife7-car2,bicycle,bicycle
knife1-car3,car,car
knife9-boat1,boat,boat
knife6-dog2,dog,dog
knife9-chair1,chair,chair
knife7-elephant2,elephant,elephant
knife4-oven2,keyboard,keyboard
knife10-knife1,bottle,bottle
cat7-knife2,knife,knife
cat4-oven1,cat,cat
cat1-keyboard3,keyboard,keyboard
cat8-bear1,cat,cat
cat4-dog3,dog,dog
cat7-truck2,truck,truck
cat8-bird2,cat,cat
cat4-knife1,clock,clock
cat1-airplane1,clock,clock
cat5-airplane2,clock,clock
cat6-keyboard3,keyboard,keyboard
cat4-clock2,clock,clock
cat9-truck1,bottle,bottle
cat9-bottle2,bottle,bottle
cat5-bear2,cat,cat
cat9-dog2,cat,cat
cat4-cat3,cat,cat
cat10-oven2,oven,oven
cat6-clock3,clock,clock
cat2-boat2,clock,clock
cat7-dog3,cat,cat
cat2-knife3,knife,knife
cat4-airplane1,clock,clock
cat10-elephant3,elephant,elephant
cat2-truck3,clock,clock
cat5-bicycle3,cat,cat
cat9-clock2,clock,clock
cat6-chair3,chair,chair
cat7-clock3,clock,clock
cat7-airplane2,bottle,bottle
cat5-knife2,cat,cat
cat10-bird2,cat,cat
cat1-car2,bottle,bottle
cat5-boat1,car,car
cat5-chair3,chair,chair
cat2-car3,car,car
cat8-car2,bottle,bottle
cat5-elephant2,cat,cat
cat9-boat2,boat,boat
cat10-bicycle1,chair,chair
cat3-bear2,cat,cat
cat6-bear1,cat,cat
cat10-bear1,bear,bear
cat9-cat3,cat,cat
cat4-chair2,chair,chair
cat1-dog1,cat,cat
cat10-airplane3,knife,knife
cat10-keyboard1,keyboard,keyboard
cat1-boat1,cat,cat
cat7-elephant1,elephant,elephant
cat1-chair2,chair,chair
cat4-truck3,car,car
cat5-car2,car,car
cat4-car2,bottle,bottle
cat3-oven2,oven,oven
cat7-boat3,chair,chair
cat8-bicycle3,cat,cat
cat5-keyboard3,keyboard,keyboard
cat2-bottle3,bottle,bottle
cat4-bird2,cat,cat
cat9-knife2,bottle,bottle
cat9-bicycle1,bottle,bottle
cat5-bottle1,bottle,bottle
cat2-cat1,cat,cat
cat9-chair2,chair,chair
cat10-clock1,clock,clock
cat3-bicycle1,cat,cat
cat10-bottle1,bottle,bottle
cat1-oven1,cat,cat
cat7-bottle1,bottle,bottle
cat1-cat3,cat,cat
cat9-bird3,cat,cat
cat6-oven1,knife,knife
cat1-bird1,cat,cat
cat2-elephant1,cat,cat
cat5-dog3,dog,dog
cat3-cat1,cat,cat
cat3-truck3,truck,truck
cat3-elephant2,cat,cat
cat4-keyboard2,keyboard,keyboard
boat4-car3,car,car
boat1-bear1,bear,bear
boat7-clock3,clock,clock
boat8-elephant1,elephant,elephant
boat3-bicycle2,bicycle,bicycle
boat6-car1,boat,boat
boat1-elephant3,elephant,elephant
boat6-bear1,bear,bear
boat2-bottle2,bottle,bottle
boat9-keyboard2,keyboard,keyboard
boat7-elephant3,elephant,elephant
boat10-oven1,clock,clock
boat6-bottle2,bottle,bottle
boat2-oven3,oven,oven
boat6-clock2,clock,clock
boat5-knife2,bottle,bottle
boat4-elephant2,elephant,elephant
boat6-airplane2,clock,clock
boat5-clock3,clock,clock
boat7-bottle1,bottle,bottle
boat10-truck1,car,car
boat1-truck3,chair,chair
boat1-car2,car,car
boat1-bird3,bird,bird
boat5-airplane1,airplane,airplane
boat6-dog1,bear,bear
boat2-bear3,bear,bear
boat9-chair2,chair,chair
boat9-bird1,boat,boat
boat8-oven1,knife,knife
boat10-bear3,bear,bear
boat5-car3,car,car
boat3-clock3,clock,clock
boat4-bicycle3,chair,chair
boat9-cat3,boat,boat
boat9-airplane2,boat,boat
boat9-knife2,knife,knife
boat6-bicycle2,bicycle,bicycle
boat7-truck2,car,car
boat6-cat1,dog,dog
boat5-boat3,boat,boat
boat1-oven1,keyboard,keyboard
boat4-chair2,clock,clock
boat1-bicycle2,chair,chair
boat8-truck2,car,car
boat9-dog2,oven,oven
boat9-bear3,bear,bear
boat8-bottle1,bottle,bottle
boat7-boat2,boat,boat
boat1-chair3,chair,chair
boat2-airplane1,boat,boat
boat3-keyboard2,keyboard,keyboard
boat10-boat3,boat,boat
boat5-bicycle3,bicycle,bicycle
boat6-knife2,knife,knife
boat1-keyboard3,bottle,bottle
boat7-keyboard3,keyboard,keyboard
boat8-bird2,boat,boat
boat3-airplane2,bottle,bottle
boat7-chair1,chair,chair
boat9-boat3,boat,boat
boat2-keyboard1,knife,knife
boat8-knife1,knife,knife
boat10-cat1,cat,cat
boat8-dog3,dog,dog
boat4-knife2,knife,knife
boat3-dog3,oven,oven
boat2-bird1,boat,boat
boat9-clock1,clock,clock
boat6-truck3,car,car
boat4-dog2,oven,oven
boat7-oven3,oven,oven
boat3-cat3,chair,chair
boat4-bird1,bird,bird
boat7-cat3,cat,cat
boat4-boat3,boat,boat
boat3-chair3,chair,chair
boat4-bottle2,bottle,bottle
boat6-elephant2,elephant,elephant
boat3-car3,car,car
bird6-bottle3,bottle,bottle
bird10-cat1,cat,cat
bird10-chair1,chair,chair
bird7-truck2,car,car
bird9-chair1,chair,chair
bird6-elephant2,elephant,elephant
bird7-knife2,bird,bird
bird7-keyboard3,keyboard,keyboard
bird6-car3,car,car
bird3-oven1,oven,oven
bird2-knife1,knife,knife
bird1-bicycle2,chair,chair
bird2-airplane3,bicycle,bicycle
bird10-bicycle1,bottle,bottle
bird3-bear3,bear,bear
bird1-keyboard3,bottle,bottle
bird1-oven1,oven,oven
bird2-clock3,clock,clock
bird4-dog3,dog,dog
bird7-boat1,boat,boat
bird5-truck2,truck,truck
bird4-cat3,bear,bear
bird1-bear1,bear,bear
bird5-car2,bottle,bottle
bird1-boat1,boat,boat
bird7-cat3,bird,bird
bird9-bottle3,bottle,bottle
bird2-bird2,bird,bird
bird7-car2,bottle,bottle
bird3-boat3,boat,boat
bird3-bird2,bird,bird
bird6-boat2,boat,boat
bird10-elephant2,elephant,elephant
bird5-keyboard2,keyboard,keyboard
bird3-knife3,knife,knife
bird6-truck2,car,car
bird7-oven3,oven,oven
bird8-chair1,chair,chair
bird5-airplane3,bird,bird
bird2-car3,car,car
bird5-bicycle1,bird,bird
bird8-bottle1,bottle,bottle
bird3-truck3,bottle,bottle
bird9-keyboard1,bird,bird
bird7-bottle1,bottle,bottle
bird7-bird2,bird,bird
bird1-clock3,clock,clock
bird5-bear3,cat,cat
bird1-airplane2,bird,bird
bird1-knife3,knife,knife
bird10-clock1,clock,clock
bird3-cat1,bird,bird
bird8-elephant1,bird,bird
bird8-clock1,clock,clock
bird1-elephant2,elephant,elephant
bird3-dog1,bear,bear
bird10-bird2,bird,bird
bird5-bird1,bird,bird
bird8-knife2,bottle,bottle
bird5-oven3,oven,oven
bird2-dog2,dog,dog
bird4-airplane1,airplane,airplane
bird9-bicycle3,bird,bird
bird8-keyboard2,keyboard,keyboard
bird3-bottle2,bottle,bottle
bird9-elephant2,elephant,elephant
bird4-clock1,clock,clock
bird6-oven1,clock,clock
bird8-car2,bottle,bottle
bird8-boat3,boat,boat
bird4-bicycle2,chair,chair
bird1-truck1,chair,chair
bird10-bear2,bird,bird
bird9-bear3,bear,bear
bird5-dog2,bird,bird
bird5-cat2,bird,bird
bird6-airplane2,clock,clock
bird9-dog2,bird,bird
bird5-chair1,chair,chair
bird1-chair2,chair,chair
airplane2-bear1,bear,bear
airplane5-oven3,oven,oven
airplane2-bicycle1,bicycle,bicycle
airplane10-car3,car,car
airplane2-bird3,knife,knife
airplane4-bear3,bird,bird
airplane9-oven2,oven,oven
airplane9-clock1,clock,clock
airplane6-knife1,knife,knife
airplane1-clock1,clock,clock
airplane3-car1,car,car
airplane9-car2,bottle,bottle
airplane10-elephant1,airplane,airplane
airplane4-cat3,oven,oven
airplane5-boat3,boat,boat
airplane3-dog1,bear,bear
airplane9-knife3,knife,knife
airplane5-bird2,airplane,airplane
airplane5-dog3,cat,cat
airplane5-chair3,chair,chair
airplane6-bear3,elephant,elephant
airplane4-elephant1,elephant,elephant
airplane1-elephant1,elephant,elephant
airplane8-truck3,chair,chair
airplane10-knife3,knife,knife
airplane4-airplane1,airplane,airplane
airplane8-clock2,bottle,bottle
airplane10-truck1,bottle,bottle
airplane4-bottle1,bottle,bottle
airplane9-truck1,bottle,bottle
airplane7-clock3,clock,clock
airplane7-airplane3,airplane,airplane
airplane8-bird1,knife,knife
airplane10-oven2,oven,oven
airplane5-knife1,bottle,bottle
airplane8-bicycle3,keyboard,keyboard
airplane4-bicycle2,bottle,bottle
airplane6-chair3,chair,chair
airplane5-bear2,bear,bear
airplane4-truck2,car,car
airplane7-car1,car,car
airplane7-bird3,bird,bird
airplane1-bicycle2,bicycle,bicycle
airplane4-dog2,oven,oven
airplane10-airplane1,airplane,airplane
airplane8-oven2,oven,oven
airplane10-cat2,cat,cat
airplane8-elephant3,elephant,elephant
airplane5-bottle3,bottle,bottle
airplane4-car1,car,car
airplane7-boat2,airplane,airplane
airplane6-keyboard3,clock,clock
airplane3-elephant1,elephant,elephant
airplane7-truck1,car,car
airplane6-bottle2,bottle,bottle
airplane9-keyboard2,keyboard,keyboard
airplane10-dog3,cat,cat
airplane2-bottle1,bottle,bottle
airplane4-boat3,clock,clock
airplane7-bottle3,bottle,bottle
airplane3-keyboard2,keyboard,keyboard
airplane9-boat1,boat,boat
airplane9-airplane2,airplane,airplane
airplane4-knife1,knife,knife
airplane7-keyboard1,knife,knife
airplane3-clock1,clock,clock
airplane3-cat1,cat,cat
airplane5-bicycle1,airplane,airplane
airplane3-airplane2,airplane,airplane
airplane2-dog1,bear,bear
airplane7-cat3,bear,bear
airplane3-chair3,chair,chair
airplane4-bird3,knife,knife
airplane1-chair2,chair,chair
airplane3-oven1,chair,chair
airplane4-keyboard3,bottle,bottle
airplane10-boat3,airplane,airplane
airplane8-chair1,chair,chair
airplane2-cat1,dog,dog
airplane10-bear3,bear,bear
clock7-boat3,clock,clock
clock8-truck2,clock,clock
clock6-clock2,clock,clock
clock7-car1,clock,clock
clock10-oven2,oven,oven
clock10-airplane1,clock,clock
clock4-chair1,clock,clock
clock8-oven3,clock,clock
clock2-knife1,clock,clock
clock1-clock2,clock,clock
clock8-bear2,clock,clock
clock9-keyboard2,keyboard,keyboard
clock4-elephant2,clock,clock
clock10-cat1,oven,oven
clock6-chair3,chair,chair
clock7-bicycle1,clock,clock
clock9-airplane1,clock,clock
clock5-bicycle1,clock,clock
clock3-cat1,clock,clock
clock10-bottle1,bottle,bottle
clock2-clock3,clock,clock
clock7-cat2,clock,clock
clock3-keyboard3,clock,clock
clock10-boat2,clock,clock
clock7-bear2,clock,clock
clock8-cat1,clock,clock
clock9-bird2,clock,clock
clock10-knife3,knife,knife
clock4-bottle3,clock,clock
clock9-chair3,chair,chair
clock8-boat1,clock,clock
clock2-bottle3,clock,clock
clock4-knife1,clock,clock
clock1-bear1,cat,cat
clock8-keyboard1,clock,clock
clock2-elephant2,clock,clock
clock8-airplane2,clock,clock
clock6-oven1,oven,oven
clock2-bicycle1,clock,clock
clock10-truck2,car,car
clock4-oven1,clock,clock
clock6-bird3,clock,clock
clock7-bottle2,clock,clock
clock10-dog3,bottle,bottle
clock4-car2,clock,clock
clock10-clock3,clock,clock
clock3-car2,clock,clock
clock3-bird1,clock,clock
clock3-dog2,clock,clock
clock2-dog1,clock,clock
clock7-dog2,clock,clock
clock6-truck3,clock,clock
clock3-bicycle2,clock,clock
clock4-boat3,clock,clock
clock6-knife2,clock,clock
clock4-airplane1,clock,clock
clock7-truck3,clock,clock
clock3-elephant3,clock,clock
clock1-truck3,bottle,bottle
clock4-bird3,clock,clock
clock1-dog2,clock,clock
clock8-knife1,clock,clock
clock5-elephant2,clock,clock
clock3-bear3,clock,clock
clock6-car2,clock,clock
clock10-bird3,clock,clock
clock1-car1,car,car
clock5-airplane1,clock,clock
clock7-keyboard2,clock,clock
clock9-cat1,clock,clock
clock8-chair2,clock,clock
clock5-oven1,clock,clock
clock1-elephant2,elephant,elephant
clock1-boat3,boat,boat
clock5-chair3,clock,clock
clock5-keyboard1,clock,clock
clock2-bear2,clock,clock
clock6-bicycle1,clock,clock
clock5-clock2,clock,clock
clock6-bottle1,bottle,bottle
dog5-bear3,bear,bear
dog1-knife3,knife,knife
dog2-bicycle2,bicycle,bicycle
dog9-bottle1,bottle,bottle
dog7-chair2,chair,chair
dog2-bottle2,bottle,bottle
dog3-boat1,chair,chair
dog2-dog3,dog,dog
dog10-car3,car,car
dog3-dog1,dog,dog
dog3-keyboard1,dog,dog
dog3-clock1,clock,clock
dog10-oven2,chair,chair
dog4-truck2,car,car
dog3-elephant2,elephant,elephant
dog10-truck2,truck,truck
dog7-oven2,bottle,bottle
dog10-airplane1,knife,knife
dog6-bicycle1,clock,clock
dog5-truck2,car,car
dog6-cat1,dog,dog
dog4-bottle2,bottle,bottle
dog10-clock1,clock,clock
dog9-cat1,dog,dog
dog6-clock1,clock,clock
dog9-chair2,chair,chair
dog7-bird3,dog,dog
dog10-bottle1,bottle,bottle
dog8-bear3,bear,bear
dog5-boat3,boat,boat
dog9-boat1,bottle,bottle
dog2-cat1,dog,dog
dog3-bird2,dog,dog
dog8-keyboard3,bottle,bottle
dog10-dog1,bear,bear
dog6-truck2,car,car
dog4-chair1,chair,chair
dog8-bottle2,bottle,bottle
dog1-bear1,dog,dog
dog8-chair3,chair,chair
dog5-car3,car,car
dog9-bicycle3,chair,chair
dog6-elephant2,elephant,elephant
dog1-chair1,chair,chair
dog4-oven1,bottle,bottle
dog9-car1,bottle,bottle
dog1-dog2,dog,dog
dog10-bicycle1,dog,dog
dog4-cat3,dog,dog
dog3-bear3,bear,bear
dog3-truck2,chair,chair
dog1-boat3,boat,boat
dog5-knife2,knife,knife
dog1-airplane3,bottle,bottle
dog2-airplane2,clock,clock
dog5-elephant1,dog,dog
dog4-elephant2,elephant,elephant
dog1-bird1,dog,dog
dog7-keyboard3,keyboard,keyboard
dog8-dog3,dog,dog
dog10-keyboard2,keyboard,keyboard
dog4-keyboard2,keyboard,keyboard
dog8-boat3,chair,chair
dog1-car2,boat,boat
dog4-airplane3,dog,dog
dog1-cat3,dog,dog
dog10-elephant1,elephant,elephant
dog3-knife3,knife,knife
dog7-knife3,clock,clock
dog8-clock2,clock,clock
dog6-bird1,dog,dog
dog5-oven1,oven,oven
dog4-bicycle1,airplane,airplane
dog8-oven3,oven,oven
dog7-car2,clock,clock
dog9-bear3,bear,bear
dog2-knife3,knife,knife
dog4-bird1,dog,dog
dog9-airplane3,knife,knife
dog4-clock1,clock,clock
oven9-chair1,car,car
oven3-airplane1,oven,oven
oven7-cat1,bottle,bottle
oven5-bicycle1,oven,oven
oven6-bird1,oven,oven
oven6-knife3,oven,oven
oven7-elephant1,elephant,elephant
oven10-cat2,chair,chair
oven2-dog3,keyboard,keyboard
oven5-bottle3,bottle,bottle
oven7-keyboard1,keyboard,keyboard
oven9-clock2,oven,oven
oven7-bottle1,chair,chair
oven3-boat3,oven,oven
oven10-airplane2,oven,oven
oven9-boat2,boat,boat
oven5-keyboard2,keyboard,keyboard
oven9-bear2,oven,oven
oven2-bicycle1,oven,oven
oven8-cat3,bottle,bottle
