image,response,pred_label,pred_conf
bicycle4-car2,car,car,0.40927136
bicycle5-bear1,cat,cat,0.47263166
bicycle1-bottle3,bottle,bottle,0.94300294
bicycle1-oven1,bicycle,bicycle,0.67664236
bicycle1-clock3,clock,clock,0.9943073
bicycle4-boat1,bicycle,bicycle,0.817752
bicycle5-dog2,bicycle,bicycle,0.8104994
bicycle3-oven3,oven,oven,0.58824503
bicycle2-keyboard2,keyboard,keyboard,0.6366818
bicycle4-bicycle3,bicycle,bicycle,0.99068063
bicycle5-chair2,chair,chair,0.98019964
bicycle5-cat1,oven,oven,0.28762916
bicycle6-car2,car,car,0.28260052
bicycle1-knife3,bicycle,bicycle,0.40686032
bicycle6-cat1,cat,cat,0.19154929
bicycle6-bicycle3,bicycle,bicycle,0.26120225
bicycle1-elephant2,bicycle,bicycle,0.8915911
bicycle6-airplane2,clock,clock,0.44210973
bicycle2-bicycle1,bicycle,bicycle,0.7130556
bicycle5-bottle3,bottle,bottle,0.8340044
bicycle1-truck1,bicycle,bicycle,0.27372915
bicycle7-bicycle2,bicycle,bicycle,0.9799098
bicycle2-bottle1,bottle,bottle,0.9253749
bicycle4-knife3,chair,chair,0.29822478
chair8-bicycle3,chair,chair,0.42451227
chair1-airplane2,chair,chair,0.9786458
chair4-bear2,bear,bear,0.6149658
chair10-car2,car,car,0.21001127
chair9-bicycle3,chair,chair,0.9465206
chair5-bicycle1,chair,chair,0.92931426
chair2-bear2,bear,bear,0.98310024
chair7-bottle1,bottle,bottle,0.66485226
chair1-truck3,truck,truck,0.28145587
chair5-knife3,knife,knife,0.9962917
chair3-bicycle3,chair,chair,0.9907694
chair1-chair1,chair,chair,0.36216807
chair8-boat1,chair,chair,0.63997793
chair9-bird3,chair,chair,0.7180955
chair10-clock1,clock,clock,0.98505276
chair3-car3,car,car,0.8719679
chair7-knife2,chair,chair,0.446486
chair1-cat3,cat,cat,0.19924492
chair4-cat2,cat,cat,0.8143832
chair8-car1,car,car,0.35098228
chair5-clock2,chair,chair,0.7026641
chair2-knife1,chair,chair,0.5197006
chair4-truck2,chair,chair,0.8749831
chair5-bird1,chair,chair,0.6827756
chair7-truck3,chair,chair,0.8264164
chair1-clock2,clock,clock,0.8246355
chair7-cat1,chair,chair,0.97615385
chair3-bottle3,bottle,bottle,0.9890679
chair4-chair3,chair,chair,0.8934213
chair7-chair1,chair,chair,0.35116854
chair9-keyboard2,keyboard,keyboard,0.9985373
chair8-elephant1,elephant,elephant,0.97747415
chair2-boat1,chair,chair,0.9240595
chair3-airplane2,chair,chair,0.98009527
chair2-keyboard2,keyboard,keyboard,0.9936012
chair1-elephant1,elephant,elephant,0.99427336
chair1-bear1,cat,cat,0.3169913
chair8-airplane1,chair,chair,0.43480745
chair10-airplane2,chair,chair,0.9290487
chair5-bottle3,bottle,bottle,0.97702116
chair3-dog2,chair,chair,0.22973031
chair7-bird1,chair,chair,0.9916525
chair1-dog1,bear,bear,0.30294985
chair7-boat3,chair,chair,0.9814489
chair6-bird2,chair,chair,0.93389237
chair3-knife1,knife,knife,0.86356163
chair5-boat3,chair,chair,0.96888447
chair9-chair3,chair,chair,0.8674936
chair10-bottle3,bottle,bottle,0.90712905
chair8-clock3,clock,clock,0.9961677
chair1-oven3,oven,oven,0.29240257
chair10-bicycle1,chair,chair,0.8535003
chair5-truck3,truck,truck,0.30715317
chair7-clock3,clock,clock,0.9529612
chair9-boat2,chair,chair,0.9935568
chair9-dog2,oven,oven,0.29845643
chair6-truck2,chair,chair,0.745161
chair6-dog1,chair,chair,0.2998233
chair9-bear1,cat,cat,0.5910036
chair9-bottle3,bottle,bottle,0.97996897
chair6-elephant2,elephant,elephant,0.9385922
chair7-airplane1,chair,chair,0.60198927
chair10-bird3,chair,chair,0.97839576
chair9-elephant1,elephant,elephant,0.2235534
chair4-keyboard2,keyboard,keyboard,0.9894243
chair8-oven1,bottle,bottle,0.5593972
chair7-car2,car,car,0.43124953
chair5-oven2,chair,chair,0.8629334
chair8-chair3,chair,chair,0.93105704
chair7-elephant1,chair,chair,0.6241819
chair5-cat3,chair,chair,0.32109627
chair5-car1,car,car,0.77522004
chair10-oven1,chair,chair,0.5782265
chair5-keyboard2,keyboard,keyboard,0.99611855
chair4-oven2,chair,chair,0.988469
chair8-keyboard3,keyboard,keyboard,0.92726016
chair8-bear1,cat,cat,0.45761827
chair10-dog1,bear,bear,0.1863877
chair10-cat1,chair,chair,0.680351
chair8-knife2,knife,knife,0.85734403
truck3-bicycle1,car,car,0.34400952
truck7-elephant2,truck,truck,0.6949956
truck7-boat1,car,car,0.40677243
truck4-boat3,truck,truck,0.9511499
truck10-truck3,truck,truck,0.6488041
truck9-chair3,chair,chair,0.7345319
truck7-bird2,truck,truck,0.99132234
truck2-car3,truck,truck,0.6546556
truck8-dog3,dog,dog,0.86155105
truck2-bird2,truck,truck,0.9408575
truck6-boat2,truck,truck,0.8688839
truck6-dog2,bottle,bottle,0.62009364
truck3-knife2,truck,truck,0.50426394
truck10-car3,truck,truck,0.4886949
truck9-bottle2,bottle,bottle,0.9973116
truck3-oven2,oven,oven,0.7837999
truck4-airplane3,truck,truck,0.94800824
truck4-bottle2,bottle,bottle,0.9975219
truck6-knife2,truck,truck,0.7894085
truck2-oven3,oven,oven,0.9280134
truck1-bear1,cat,cat,0.46346477
truck6-clock2,bottle,bottle,0.70256984
truck1-chair2,chair,chair,0.40669024
truck1-dog1,bear,bear,0.4171765
truck5-cat3,truck,truck,0.68569505
truck6-bear2,bear,bear,0.967802
truck4-oven2,truck,truck,0.9543419
truck8-elephant1,truck,truck,0.7288353
truck8-cat2,truck,truck,0.4199755
truck2-airplane3,airplane,airplane,0.7101969
truck2-keyboard1,truck,truck,0.95885384
truck5-airplane2,boat,boat,0.3250794
truck6-truck2,truck,truck,0.9743373
truck4-bear1,bear,bear,0.6671321
truck2-boat3,truck,truck,0.9506999
truck9-boat3,truck,truck,0.9826559
truck2-elephant1,elephant,elephant,0.40899318
truck5-bird2,truck,truck,0.5355712
truck1-cat1,cat,cat,0.9229407
truck3-dog3,dog,dog,0.8581001
truck6-bottle3,bottle,bottle,0.99393624
truck1-car3,truck,truck,0.6431051
truck6-cat2,cat,cat,0.8248265
truck9-airplane2,truck,truck,0.9578878
truck7-oven2,truck,truck,0.9603799
truck3-bird2,truck,truck,0.7865795
truck3-chair2,chair,chair,0.89208984
truck1-bird1,truck,truck,0.8691786
truck2-chair1,chair,chair,0.49826056
truck7-chair2,truck,truck,0.5689676
truck6-bicycle1,bottle,bottle,0.8299707
truck7-keyboard3,keyboard,keyboard,0.8475379
truck10-elephant3,elephant,elephant,0.71089906
truck1-knife1,truck,truck,0.9904435
truck3-cat1,dog,dog,0.3633685
truck8-bottle2,bottle,bottle,0.9943331
truck9-truck3,truck,truck,0.9355759
truck3-clock3,clock,clock,0.994218
truck5-truck1,bottle,bottle,0.6386793
truck10-bicycle1,truck,truck,0.32648447
truck6-oven3,oven,oven,0.68061894
truck3-keyboard3,keyboard,keyboard,0.92444694
truck5-knife3,knife,knife,0.9956922
truck4-knife1,knife,knife,0.6969764
truck3-car3,car,car,0.9826198
truck5-dog3,dog,dog,0.26827398
truck10-airplane1,truck,truck,0.96597147
truck2-clock1,clock,clock,0.9965611
truck7-truck2,truck,truck,0.98060364
truck3-bear3,bear,bear,0.8665933
truck8-keyboard2,keyboard,keyboard,0.5917498
truck2-bottle3,bottle,bottle,0.98860085
truck10-clock1,clock,clock,0.9774478
truck5-keyboard1,truck,truck,0.38280532
truck1-bicycle3,truck,truck,0.94164246
truck2-bicycle2,truck,truck,0.22816683
truck5-car1,car,car,0.2828716
truck7-bear2,bear,bear,0.4621473
truck9-elephant1,elephant,elephant,0.41998988
truck1-clock3,clock,clock,0.9834898
bottle6-dog3,dog,dog,0.9412124
bottle1-clock1,bottle,bottle,0.6403035
bottle1-keyboard3,bottle,bottle,0.49721915
bottle1-car1,bottle,bottle,0.65649885
bottle6-bicycle3,bottle,bottle,0.98735327
bottle5-bird3,bottle,bottle,0.9935191
bottle8-bottle3,bottle,bottle,0.9909577
bottle3-bird1,bottle,bottle,0.9903167
bottle7-airplane3,clock,clock,0.29865962
bottle8-keyboard3,bottle,bottle,0.955215
bottle3-boat3,bottle,bottle,0.99565387
bottle9-bicycle1,bottle,bottle,0.9977443
bottle10-boat3,bottle,bottle,0.98262984
bottle4-car3,bottle,bottle,0.63497967
bottle9-truck1,bottle,bottle,0.98881656
bottle4-bicycle1,bottle,bottle,0.97882956
bottle6-boat3,bottle,bottle,0.994457
bottle4-oven2,bottle,bottle,0.98623574
bottle5-cat1,cat,cat,0.56921625
bottle1-dog2,bottle,bottle,0.14766288
bottle9-bottle1,bottle,bottle,0.9843188
bottle2-knife3,bottle,bottle,0.9370339
bottle7-elephant2,elephant,elephant,0.99364644
bottle3-airplane2,bottle,bottle,0.9763632
bottle7-boat3,bottle,bottle,0.58479863
bottle2-elephant1,elephant,elephant,0.994225
bottle1-cat3,cat,cat,0.93918854
bottle2-chair3,chair,chair,0.9897807
bottle6-oven3,oven,oven,0.2951495
bottle5-chair1,chair,chair,0.70672995
bottle9-elephant2,elephant,elephant,0.564173
bottle8-bird1,bottle,bottle,0.9928895
bottle9-cat2,cat,cat,0.43895313
bottle6-airplane1,bottle,bottle,0.9692522
bottle5-elephant1,elephant,elephant,0.97435814
bottle2-car2,car,car,0.21387826
bottle1-bear1,bear,bear,0.6103929
bottle5-knife1,bottle,bottle,0.8244684
bottle4-truck1,bottle,bottle,0.98996407
bottle9-car3,car,car,0.43766123
bottle8-dog2,bottle,bottle,0.942437
bottle3-cat3,bottle,bottle,0.9875331
bottle10-clock2,bottle,bottle,0.78855735
bottle7-keyboard2,keyboard,keyboard,0.9982427
bottle1-bird3,bottle,bottle,0.9629387
bottle3-bottle3,bottle,bottle,0.99013454
bottle5-boat1,bottle,bottle,0.9945359
bottle5-keyboard2,keyboard,keyboard,0.96448576
bottle7-bear1,bear,bear,0.5224167
bottle4-dog2,bottle,bottle,0.9246434
bottle7-clock1,clock,clock,0.99504703
bottle5-oven2,bottle,bottle,0.53565466
bottle3-knife3,bottle,bottle,0.7935991
bottle10-bear2,bottle,bottle,0.9395393
bottle7-oven2,bottle,bottle,0.5787683
bottle6-bear2,bear,bear,0.88912344
bottle6-knife3,bottle,bottle,0.74774104
bottle6-bird1,bottle,bottle,0.98603606
bottle6-bottle3,bottle,bottle,0.9782529
bottle1-chair2,chair,chair,0.9851211
bottle3-bicycle3,bottle,bottle,0.97865355
bottle5-airplane1,bottle,bottle,0.93916476
bottle9-keyboard1,keyboard,keyboard,0.8213444
bottle4-airplane1,knife,knife,0.6423776
bottle3-bear2,bear,bear,0.7671586
bottle8-knife1,bottle,bottle,0.36561817
bottle8-elephant3,bottle,bottle,0.7387755
bottle5-clock3,clock,clock,0.91188526
bottle3-chair3,chair,chair,0.61682975
bottle10-car1,bottle,bottle,0.9186582
bottle2-bottle3,bottle,bottle,0.9807049
bottle6-chair2,chair,chair,0.9953761
bottle2-clock1,clock,clock,0.86027825
bottle10-truck3,bottle,bottle,0.9713123
bottle9-oven2,bottle,bottle,0.82445073
bottle7-truck2,car,car,0.38608798
bottle7-cat2,cat,cat,0.827217
bottle8-bicycle1,bottle,bottle,0.99287915
bottle10-dog1,bear,bear,0.19216125
bottle5-truck1,bottle,bottle,0.99623704
knife10-oven3,oven,oven,0.9436395
knife5-cat2,cat,cat,0.6449813
knife4-clock3,clock,clock,0.9921124
knife6-oven3,oven,oven,0.66879284
knife7-boat3,clock,clock,0.13973783
knife9-bird1,knife,knife,0.3845762
knife6-truck1,car,car,0.33454505
knife5-truck3,truck,truck,0.27232808
knife9-airplane2,knife,knife,0.4479646
knife9-elephant2,elephant,elephant,0.3183124
knife1-oven1,oven,oven,0.68857765
knife1-clock2,clock,clock,0.9702252
knife2-elephant2,elephant,elephant,0.99642146
knife4-car2,knife,knife,0.34674793
knife6-bicycle1,bottle,bottle,0.43319255
knife2-truck2,truck,truck,0.80968136
knife6-chair3,chair,chair,0.9774163
knife8-truck3,truck,truck,0.26296827
knife6-clock2,clock,clock,0.9601668
knife3-bear2,bear,bear,0.3637861
knife5-knife3,knife,knife,0.9991764
knife5-dog1,cat,cat,0.2399349
knife9-bottle2,bottle,bottle,0.99680966
knife5-oven2,oven,oven,0.85049975
knife6-bottle3,bottle,bottle,0.9751519
knife5-keyboard3,keyboard,keyboard,0.6220594
knife2-bird1,knife,knife,0.91946906
knife2-bottle2,bottle,bottle,0.99792606
knife7-bird3,bottle,bottle,0.20706813
knife1-airplane1,knife,knife,0.59656495
knife6-boat3,bottle,bottle,0.25128624
knife3-keyboard3,keyboard,keyboard,0.29386377
knife2-bear2,cat,cat,0.4945203
knife4-knife2,bottle,bottle,0.97618926
knife8-bicycle1,bicycle,bicycle,0.14195094
knife10-elephant3,elephant,elephant,0.9968807
knife2-car3,car,car,0.8974757
knife3-clock2,clock,clock,0.9424322
knife4-airplane3,knife,knife,0.27533376
knife2-cat3,cat,cat,0.15403444
knife1-keyboard3,keyboard,keyboard,0.47399276
knife8-car2,car,car,0.6697607
knife2-bicycle3,clock,clock,0.2260533
knife1-truck2,car,car,0.43137676
knife4-boat1,boat,boat,0.81930345
knife2-dog1,bear,bear,0.26483652
knife1-chair1,chair,chair,0.385097
knife1-elephant1,elephant,elephant,0.9644705
knife1-bird2,knife,knife,0.31743643
knife9-bicycle1,bottle,bottle,0.591549
knife6-knife1,knife,knife,0.71211505
knife9-bear3,bear,bear,0.5166128
knife10-dog1,cat,cat,0.25585026
knife3-cat1,cat,cat,0.84476966
knife4-keyboard1,clock,clock,0.70910364
knife10-bear3,bear,bear,0.955315
knife5-bicycle2,bottle,bottle,0.3756856
knife3-knife1,knife,knife,0.30753455
knife8-cat2,knife,knife,0.43938005
knife10-chair1,chair,chair,0.22139095
knife4-bear1,cat,cat,0.5089529
knife7-chair2,bottle,bottle,0.5815216
knife4-cat2,cat,cat,0.47968116
knife1-dog1,bear,bear,0.52272344
knife5-clock1,clock,clock,0.990411
knife6-airplane1,clock,clock,0.39632043
knife7-bottle3,bottle,bottle,0.9869605
knife8-boat1,car,car,0.36232114
knife8-bottle3,bottle,bottle,0.9821755
knife7-airplane3,knife,knife,0.84573144
knife6-bird1,knife,knife,0.9088887
knife10-keyboard3,knife,knife,0.94694823
knife7-car2,car,car,0.38750616
knife1-car3,car,car,0.7722236
knife9-boat1,boat,boat,0.32453212
knife6-dog2,cat,cat,0.4989026
knife9-chair1,chair,chair,0.5707235
knife7-elephant2,elephant,elephant,0.98842186
knife4-oven2,keyboard,keyboard,0.88821495
knife10-knife1,knife,knife,0.88856506
cat7-knife2,knife,knife,0.8778005
cat4-oven1,oven,oven,0.41706365
cat1-keyboard3,keyboard,keyboard,0.9608476
cat8-bear1,cat,cat,0.5691994
cat4-dog3,dog,dog,0.92799
cat7-truck2,truck,truck,0.9578209
cat8-bird2,cat,cat,0.91821885
cat4-knife1,knife,knife,0.5253144
cat1-airplane1,clock,clock,0.3484618
cat5-airplane2,bottle,bottle,0.36417833
cat6-keyboard3,keyboard,keyboard,0.46288604
cat4-clock2,clock,clock,0.99531895
cat9-truck1,chair,chair,0.31092387
cat9-bottle2,bottle,bottle,0.994695
cat5-bear2,cat,cat,0.9961011
cat9-dog2,cat,cat,0.9965778
cat4-cat3,cat,cat,0.9826214
cat10-oven2,oven,oven,0.9381845
cat6-clock3,clock,clock,0.99023324
cat2-boat2,cat,cat,0.43537036
cat7-dog3,cat,cat,0.94627404
cat2-knife3,knife,knife,0.9961866
cat4-airplane1,clock,clock,0.34892765
cat10-elephant3,elephant,elephant,0.93341786
cat2-truck3,clock,clock,0.44550982
cat5-bicycle3,bottle,bottle,0.34239492
cat9-clock2,clock,clock,0.94160867
cat6-chair3,chair,chair,0.9138589
cat7-clock3,clock,clock,0.9926389
cat7-airplane2,knife,knife,0.1902991
cat5-knife2,knife,knife,0.7722974
cat10-bird2,cat,cat,0.99279934
cat1-car2,car,car,0.2825612
cat5-boat1,boat,boat,0.26938522
cat5-chair3,chair,chair,0.8332277
cat2-car3,car,car,0.86193043
cat8-car2,bottle,bottle,0.53672636
cat5-elephant2,elephant,elephant,0.7042745
cat9-boat2,boat,boat,0.98922634
cat10-bicycle1,clock,clock,0.25530684
cat3-bear2,cat,cat,0.99283195
cat6-bear1,cat,cat,0.96850705
cat10-bear1,bear,bear,0.95103514
cat9-cat3,cat,cat,0.9941637
cat4-chair2,bottle,bottle,0.40292284
cat1-dog1,cat,cat,0.98404056
cat10-airplane3,bottle,bottle,0.42778212
cat10-keyboard1,keyboard,keyboard,0.7452646
cat1-boat1,boat,boat,0.6713887
cat7-elephant1,elephant,elephant,0.9755271
cat1-chair2,chair,chair,0.94918793
cat4-truck3,truck,truck,0.32597217
cat5-car2,boat,boat,0.14077364
cat4-car2,knife,knife,0.20851114
cat3-oven2,keyboard,keyboard,0.6575319
cat7-boat3,chair,chair,0.3629916
cat8-bicycle3,clock,clock,0.21023571
cat5-keyboard3,keyboard,keyboard,0.49285337
cat2-bottle3,bottle,bottle,0.9946547
cat4-bird2,cat,cat,0.9800053
cat9-knife2,knife,knife,0.5118597
cat9-bicycle1,bottle,bottle,0.21026042
cat5-bottle1,bottle,bottle,0.8743178
cat2-cat1,cat,cat,0.9859788
cat9-chair2,chair,chair,0.54320705
cat10-clock1,clock,clock,0.995765
cat3-bicycle1,cat,cat,0.94765735
cat10-bottle1,bottle,bottle,0.83023125
cat1-oven1,cat,cat,0.4857776
cat7-bottle1,bottle,bottle,0.78961164
cat1-cat3,cat,cat,0.9908108
cat9-bird3,cat,cat,0.8973216
cat6-oven1,cat,cat,0.7248752
cat1-bird1,cat,cat,0.9903832
cat2-elephant1,elephant,elephant,0.76370335
cat5-dog3,dog,dog,0.8198814
cat3-cat1,cat,cat,0.97370183
cat3-truck3,truck,truck,0.8832938
cat3-elephant2,cat,cat,0.9832212
cat4-keyboard2,keyboard,keyboard,0.860547
boat4-car3,car,car,0.92629766
boat1-bear1,bear,bear,0.94543636
boat7-clock3,clock,clock,0.99836886
boat8-elephant1,elephant,elephant,0.9625783
boat3-bicycle2,bicycle,bicycle,0.37993065
boat6-car1,bottle,bottle,0.401543
boat1-elephant3,elephant,elephant,0.99699134
boat6-bear1,bear,bear,0.9462071
boat2-bottle2,bottle,bottle,0.9983356
boat9-keyboard2,keyboard,keyboard,0.9981874
boat7-elephant3,elephant,elephant,0.99530697
boat10-oven1,keyboard,keyboard,0.13526003
boat6-bottle2,bottle,bottle,0.99672323
boat2-oven3,oven,oven,0.82610697
boat6-clock2,clock,clock,0.93653464
boat5-knife2,bottle,bottle,0.9646417
boat4-elephant2,elephant,elephant,0.96756905
boat6-airplane2,clock,clock,0.3569853
boat5-clock3,clock,clock,0.99459505
boat7-bottle1,bottle,bottle,0.9863905
boat10-truck1,car,car,0.58703583
boat1-truck3,chair,chair,0.3144362
boat1-car2,car,car,0.8836126
boat1-bird3,bird,bird,0.8998941
boat5-airplane1,airplane,airplane,0.8047705
boat6-dog1,bear,bear,0.6858794
boat2-bear3,bear,bear,0.3725111
boat9-chair2,chair,chair,0.5397554
boat9-bird1,boat,boat,0.7505339
boat8-oven1,boat,boat,0.21547654
boat10-bear3,bear,bear,0.8602914
boat5-car3,car,car,0.91320497
boat3-clock3,clock,clock,0.99347
boat4-bicycle3,bottle,bottle,0.7143767
boat9-cat3,boat,boat,0.24579255
boat9-airplane2,boat,boat,0.8978526
boat9-knife2,knife,knife,0.64872396
boat6-bicycle2,bicycle,bicycle,0.26381597
boat7-truck2,car,car,0.36539808
boat6-cat1,cat,cat,0.45720825
boat5-boat3,boat,boat,0.7503339
boat1-oven1,keyboard,keyboard,0.2791119
boat4-chair2,chair,chair,0.2884669
boat1-bicycle2,chair,chair,0.4298983
boat8-truck2,car,car,0.73421824
boat9-dog2,dog,dog,0.26426452
boat9-bear3,bear,bear,0.4209413
boat8-bottle1,bottle,bottle,0.8977802
boat7-boat2,boat,boat,0.7434225
boat1-chair3,chair,chair,0.9078254
boat2-airplane1,knife,knife,0.31773186
boat3-keyboard2,keyboard,keyboard,0.997373
boat10-boat3,boat,boat,0.9576129
boat5-bicycle3,bicycle,bicycle,0.3802574
boat6-knife2,bottle,bottle,0.968141
boat1-keyboard3,bottle,bottle,0.4884112
boat7-keyboard3,bottle,bottle,0.5846958
boat8-bird2,boat,boat,0.9797781
boat3-airplane2,bottle,bottle,0.29390565
boat7-chair1,chair,chair,0.30864373
boat9-boat3,boat,boat,0.92367864
boat2-keyboard1,keyboard,keyboard,0.650808
boat8-knife1,knife,knife,0.4105976
boat10-cat1,cat,cat,0.9188706
boat8-dog3,dog,dog,0.81568056
boat4-knife2,knife,knife,0.7115988
boat3-dog3,dog,dog,0.2665841
boat2-bird1,boat,boat,0.6657681
boat9-clock1,clock,clock,0.9972388
boat6-truck3,chair,chair,0.27251342
boat4-dog2,oven,oven,0.5203872
boat7-oven3,keyboard,keyboard,0.49575096
boat3-cat3,boat,boat,0.19019714
boat4-bird1,bird,bird,0.7197098
boat7-cat3,cat,cat,0.43342134
boat4-boat3,boat,boat,0.91213566
boat3-chair3,chair,chair,0.9850142
boat4-bottle2,bottle,bottle,0.9901348
boat6-elephant2,elephant,elephant,0.97714835
boat3-car3,car,car,0.9486885
bird6-bottle3,bottle,bottle,0.977399
bird10-cat1,cat,cat,0.85139793
bird10-chair1,chair,chair,0.19015071
bird7-truck2,car,car,0.58107376
bird9-chair1,chair,chair,0.43084484
bird6-elephant2,elephant,elephant,0.23721048
bird7-knife2,bottle,bottle,0.46671927
bird7-keyboard3,keyboard,keyboard,0.8622517
bird6-car3,car,car,0.91797787
bird3-oven1,oven,oven,0.5225075
bird2-knife1,knife,knife,0.76552844
bird1-bicycle2,bicycle,bicycle,0.15126449
bird2-airplane3,airplane,airplane,0.6277249
bird10-bicycle1,bicycle,bicycle,0.20466757
bird3-bear3,bear,bear,0.9967942
bird1-keyboard3,bottle,bottle,0.3966424
bird1-oven1,oven,oven,0.51307124
bird2-clock3,clock,clock,0.99460685
bird4-dog3,dog,dog,0.79236346
bird7-boat1,boat,boat,0.8878216
bird5-truck2,truck,truck,0.98461497
bird4-cat3,cat,cat,0.4077694
bird1-bear1,bear,bear,0.653371
bird5-car2,bottle,bottle,0.31980923
bird1-boat1,boat,boat,0.9550027
bird7-cat3,cat,cat,0.21347053
bird9-bottle3,bottle,bottle,0.9925654
bird2-bird2,bird,bird,0.9235701
bird7-car2,bottle,bottle,0.5262122
bird3-boat3,bottle,bottle,0.4201287
bird3-bird2,bird,bird,0.7208791
bird6-boat2,boat,boat,0.53631306
bird10-elephant2,elephant,elephant,0.99758565
bird5-keyboard2,keyboard,keyboard,0.9900756
bird3-knife3,knife,knife,0.9890552
bird6-truck2,truck,truck,0.7720036
bird7-oven3,oven,oven,0.13702123
bird8-chair1,chair,chair,0.34044343
bird5-airplane3,bird,bird,0.645131
bird2-car3,car,car,0.5827413
bird5-bicycle1,bird,bird,0.1814732
bird8-bottle1,bottle,bottle,0.94846874
bird3-truck3,bottle,bottle,0.30834383
bird9-keyboard1,bird,bird,0.26782483
bird7-bottle1,bottle,bottle,0.9095081
bird7-bird2,bird,bird,0.8262666
bird1-clock3,clock,clock,0.9971727
bird5-bear3,bear,bear,0.18620308
bird1-airplane2,bottle,bottle,0.6403171
bird1-knife3,knife,knife,0.96462226
bird10-clock1,clock,clock,0.9873993
bird3-cat1,cat,cat,0.46724412
bird8-elephant1,elephant,elephant,0.4406392
bird8-clock1,clock,clock,0.9721443
bird1-elephant2,elephant,elephant,0.99800193
bird3-dog1,bear,bear,0.8239294
bird10-bird2,bird,bird,0.93818045
bird5-bird1,bird,bird,0.82945764
bird8-knife2,knife,knife,0.3266537
bird5-oven3,oven,oven,0.89486784
bird2-dog2,dog,dog,0.6661111
bird4-airplane1,knife,knife,0.4671608
bird9-bicycle3,bird,bird,0.5455464
bird8-keyboard2,keyboard,keyboard,0.99547774
bird3-bottle2,bottle,bottle,0.99731946
bird9-elephant2,bird,bird,0.8558781
bird4-clock1,clock,clock,0.99672776
bird6-oven1,oven,oven,0.58781135
bird8-car2,bicycle,bicycle,0.19487572
bird8-boat3,boat,boat,0.8882655
bird4-bicycle2,elephant,elephant,0.113982365
bird1-truck1,bottle,bottle,0.6105666
bird10-bear2,cat,cat,0.17927554
bird9-bear3,bear,bear,0.3499921
bird5-dog2,bird,bird,0.587951
bird5-cat2,bird,bird,0.4546646
bird6-airplane2,clock,clock,0.23003237
bird9-dog2,bird,bird,0.89553636
bird5-chair1,chair,chair,0.39743236
bird1-chair2,chair,chair,0.6449899
airplane2-bear1,cat,cat,0.4566509
airplane5-oven3,knife,knife,0.6055742
airplane2-bicycle1,airplane,airplane,0.13110714
airplane10-car3,car,car,0.8253787
airplane2-bird3,airplane,airplane,0.97773427
airplane4-bear3,bear,bear,0.19643988
airplane9-oven2,oven,oven,0.9316232
